ST,aroC,dnaN,hemD,hisD,purE,sucA,thrA
ST-761,162,31,96,244,208,119,202
ST-762,5,2,3,255,31,6,203
ST-763,216,206,25,248,223,35,196
ST-764,48,209,148,250,219,202,204
ST-765,161,147,151,251,155,12,142
ST-766,13,11,25,72,224,203,4
ST-767,71,65,67,75,73,206,64
ST-768,117,4,21,46,66,10,34
ST-769,222,213,8,123,225,180,205
ST-770,188,37,18,46,5,2,34
ST-771,14,14,45,72,227,12,6
ST-772,2,14,24,14,228,19,8
ST-773,5,188,154,88,5,12,206
ST-774,224,20,3,20,5,2,22
ST-775,225,25,29,56,232,209,78
ST-776,226,214,155,54,47,48,50
ST-777,227,149,156,54,233,210,50
ST-778,25,215,157,257,234,211,169
ST-780,228,36,31,38,22,212,208
ST-781,229,176,27,258,18,213,25
ST-782,30,28,31,27,22,214,30
ST-783,88,26,30,259,21,68,80
ST-784,230,38,158,260,236,215,209
ST-785,231,38,158,261,236,216,209
ST-786,110,4,25,163,84,19,101
ST-787,2,14,21,172,2,12,151
ST-788,232,4,25,86,235,19,101
ST-807,10,71,43,12,190,20,4
ST-808,10,71,43,12,190,20,18
ST-809,10,13,43,12,190,20,18
ST-810,7,13,8,8,7,8,13
ST-812,13,127,48,113,114,107,4
ST-813,39,107,79,20,8,35,2
ST-814,233,2,3,7,6,6,11
ST-815,1,14,15,31,25,20,33
ST-816,234,198,96,267,231,208,142
ST-817,92,107,93,156,64,151,87
ST-818,19,20,3,20,5,87,22
ST-819,33,26,30,266,230,27,28
ST-820,42,46,48,149,40,35,4
ST-821,117,162,21,66,8,19,2
ST-822,300,83,96,13,12,105,4
ST-824,204,11,8,241,161,195,186
ST-825,205,81,10,36,88,108,36
ST-826,19,81,8,20,5,9,185
ST-827,203,195,17,164,12,35,4
ST-828,17,5,78,7,5,7,12
ST-829,114,5,3,238,199,10,12
ST-830,11,196,78,74,40,13,4
ST-831,84,11,8,42,40,71,4
ST-832,115,65,8,115,2,116,110
ST-833,84,65,3,241,64,9,110
ST-834,205,46,8,42,88,108,36
ST-835,76,14,3,77,64,132,67
ST-836,203,14,17,164,12,35,4
ST-837,42,46,48,239,12,35,4
