ST,aroC,dnaN,hemD,hisD,purE,sucA,thrA
ST-2341,1,1,1,1,532,1,5
ST-2342,1,1,1,1,1,1,543
ST-2343,530,1,1,1,1,1,5
ST-2344,397,446,121,99,411,9,406
ST-2345,2,59,23,64,38,457,12
ST-2346,105,5,116,9,76,443,96
ST-2347,168,14,15,7,5,90,2
ST-2348,4,6,8,8,499,460,87
ST-2349,489,53,54,60,5,53,54
ST-2350,531,1,1,1,1,1,5
ST-2351,2,7,9,634,5,9,12
ST-2352,532,1,2,3,1,1,5
ST-2353,1,1,2,1,1,1,544
ST-2354,2,493,9,9,5,9,12
ST-2355,1,1,2,1,1,1,500
ST-2356,1,1,2,635,1,1,5
ST-2357,2,7,9,9,533,9,12
ST-2358,46,122,3,18,6,19,281
ST-2359,1,1,1,1,1,1,545
ST-2360,1,1,1,1,1,498,5
ST-2361,117,295,10,100,38,9,303
ST-2362,533,2,45,43,36,39,42
ST-2363,10,7,21,14,15,12,546
ST-2364,10,7,21,12,15,12,492
ST-2365,16,2,45,43,534,39,42
ST-2366,10,7,21,636,15,12,12
ST-2367,534,2,45,43,36,39,42
ST-2368,16,494,45,43,36,39,42
ST-2369,535,7,21,12,15,12,12
ST-2370,16,2,45,43,36,39,547
ST-2371,16,2,45,43,535,39,42
ST-2372,10,7,21,637,15,12,12
ST-2373,127,133,40,94,2,9,95
ST-2374,33,26,30,282,229,87,28
ST-2375,117,135,21,12,76,162,548
ST-2376,33,495,30,282,21,87,473
ST-2377,41,332,411,16,28,499,96
ST-2378,162,496,412,536,8,2,102
ST-2379,10,19,363,9,5,9,2
ST-2380,13,11,16,15,12,15,549
ST-2381,10,7,12,9,5,500,2
ST-2382,536,4,8,44,27,9,8
ST-2383,537,97,25,125,84,9,101
ST-2384,537,97,25,125,537,9,101
ST-2385,10,7,12,9,5,501,2
ST-2386,83,46,25,13,33,23,3
ST-2387,17,15,86,638,8,502,1
ST-2388,42,169,48,149,40,23,4
ST-2389,538,497,15,33,191,9,550
ST-2390,173,293,21,639,115,12,293
ST-2391,62,53,54,60,538,53,54
ST-2392,10,7,12,9,539,9,2
ST-2393,107,4,413,109,107,45,105
ST-2394,13,12,17,16,13,503,4
ST-2395,83,161,49,62,12,13,23
ST-2396,75,14,18,110,25,2,14
ST-2397,20,4,23,14,16,54,56
ST-2398,341,11,8,404,61,504,341
ST-2399,46,67,15,12,2,14,551
ST-2400,312,288,219,640,63,328,382
ST-2401,539,119,100,27,22,129,30
ST-2402,56,25,28,83,207,26,78
ST-2403,258,77,27,465,540,373,24
ST-2404,15,70,93,78,113,6,502
ST-2405,84,76,38,641,12,13,552
ST-2406,169,18,15,642,95,505,553
ST-2407,14,318,8,123,214,115,120
ST-2408,110,111,364,33,2,372,405
ST-2409,540,498,15,11,111,9,2
ST-2410,5,85,79,88,76,506,501
ST-2411,5,2,3,7,6,6,554
ST-2412,2,2,3,643,2,2,6
ST-2413,130,97,414,125,84,9,101
ST-2414,2,14,415,14,2,19,8
ST-2415,13,169,16,21,12,454,422
ST-2416,361,327,258,415,366,329,363
ST-2417,2,4,40,43,541,2,425
ST-2418,41,42,416,58,9,12,2
ST-2419,353,499,249,492,542,295,376
ST-2420,191,23,27,22,85,24,174
ST-2421,127,287,417,644,122,157,95
ST-2422,231,38,288,427,236,216,209
ST-2423,541,332,79,62,28,14,96
ST-2424,10,7,21,12,15,507,12
ST-2425,541,332,79,130,28,14,96
ST-2426,9,9,418,12,9,12,319
ST-2427,312,288,219,640,362,328,382
ST-2428,145,229,30,282,21,508,555
ST-2429,2,4,419,645,66,2,425
ST-2430,151,77,80,646,18,85,25
ST-2431,184,143,29,82,129,178,78
ST-2432,12,2,15,14,11,14,557
ST-2433,312,448,219,424,490,295,291
ST-2434,18,2,43,14,6,18,1
ST-2435,84,76,38,16,12,13,558
ST-2436,12,2,15,647,11,14,16
ST-2437,17,18,22,17,5,509,19
ST-2438,5,21,18,648,6,12,17
ST-2439,542,80,25,85,40,58,4
ST-2440,13,80,25,649,40,58,4
ST-2441,10,500,15,31,25,20,33
ST-2442,42,11,48,650,12,13,4
ST-2443,12,2,15,14,543,14,16
ST-2444,15,70,420,78,113,6,68
ST-2445,41,84,36,20,2,94,559
ST-2446,41,299,421,46,336,12,305
ST-2447,231,501,422,651,236,216,209
ST-2448,111,502,17,149,41,13,23
ST-2449,15,126,101,652,8,19,18
ST-2450,11,11,16,653,161,71,4
ST-2451,14,72,21,12,489,19,15
ST-2452,543,498,85,11,118,388,506
ST-2453,5,2,3,654,31,41,11
ST-2454,62,53,54,655,5,53,54
ST-2455,373,317,43,573,76,43,496
ST-2456,50,10,25,13,10,510,4
ST-2457,312,288,219,626,63,492,385
ST-2458,544,16,26,18,8,12,18
ST-2459,45,297,22,12,128,511,18
ST-2460,545,503,68,656,157,101,3
ST-2461,81,504,18,7,8,512,1
ST-2462,2,2,9,7,105,513,86
ST-2463,172,166,10,122,36,90,153
ST-2464,39,35,40,247,376,9,128
ST-2465,127,4,141,33,544,226,95
ST-2466,124,64,10,204,5,9,560
ST-2467,2,124,248,17,2,19,18
ST-2468,328,348,242,384,184,45,4
ST-2469,39,177,123,156,95,327,105
ST-2470,546,169,48,16,12,23,4
ST-2471,547,44,46,46,38,18,34
ST-2472,10,13,25,657,545,12,12
ST-2473,230,381,402,658,342,216,209
ST-2474,5,36,87,103,29,514,102
ST-2475,39,75,97,659,513,515,34
ST-2476,145,26,30,212,546,87,561
ST-2477,128,119,423,316,22,129,30
ST-2478,62,444,79,20,39,7,105
ST-2479,33,26,30,282,229,87,134
ST-2480,88,26,30,55,547,87,80
ST-2481,548,10,13,13,10,13,4
ST-2482,84,505,68,8,548,9,562
ST-2483,222,105,46,660,225,115,115
ST-2484,75,297,424,583,76,9,563
ST-2485,82,38,26,661,115,516,70
ST-2486,14,177,40,33,27,53,513
ST-2487,45,84,40,129,95,517,18
ST-2488,516,4,15,131,522,518,531
ST-2489,2,9,43,7,15,187,361
ST-2490,549,28,31,151,22,29,30
ST-2491,46,44,46,46,549,18,34
ST-2492,5,14,21,9,479,12,17
ST-2493,72,32,40,33,8,101,126
ST-2494,60,429,17,662,13,16,4
ST-2495,115,75,8,663,2,116,110
ST-2496,20,7,8,664,89,171,12
ST-2497,104,100,54,78,550,9,48
ST-2498,136,90,111,33,84,226,4
ST-2499,378,26,30,665,21,28,28
ST-2500,13,12,17,16,13,16,564
ST-2501,18,2,18,12,25,7,8
ST-2502,50,224,25,72,59,71,63
ST-2503,41,332,411,16,28,14,96
ST-2504,25,232,425,22,18,24,25
ST-2505,483,28,355,454,22,29,30
ST-2506,15,337,3,162,36,9,565
ST-2507,188,199,426,62,36,2,2
ST-2508,127,506,153,4,76,449,566
ST-2509,65,25,28,56,48,519,51
ST-2510,550,507,8,225,399,157,166
ST-2511,296,26,30,144,464,87,28
ST-2512,471,77,27,324,18,204,567
ST-2513,145,26,30,666,21,87,134
ST-2514,39,338,93,429,36,343,65
ST-2515,3,3,7,4,3,3,485
ST-2516,33,26,30,26,21,145,457
ST-2517,6,188,15,7,336,14,568
ST-2518,18,7,128,9,39,9,487
ST-2519,210,11,17,113,33,107,4
ST-2520,2,434,144,667,473,520,12
ST-2521,16,16,427,18,8,447,18
ST-2522,2,7,43,7,105,394,442
ST-2523,65,248,29,82,20,50,246
ST-2524,150,123,78,106,140,285,84
ST-2525,346,64,25,125,84,6,22
ST-2526,75,113,15,7,551,439,72
ST-2527,551,4,23,14,16,19,18
ST-2528,14,308,40,163,100,101,95
ST-2529,124,110,35,204,95,521,16
ST-2530,552,14,428,500,5,10,14
ST-2531,13,11,17,16,13,522,4
ST-2532,35,133,417,159,8,53,126
ST-2533,22,11,25,21,184,23,4
ST-2534,553,31,18,143,5,142,22
ST-2535,232,4,25,86,76,19,101
ST-2536,84,11,25,653,114,350,4
ST-2537,127,4,25,125,13,90,298
ST-2538,118,118,8,106,2,117,349
ST-2539,285,26,30,668,464,87,134
ST-2540,11,10,25,21,41,13,4
ST-2541,312,288,219,453,362,328,569
ST-2542,92,187,54,349,418,90,565
ST-2543,16,453,20,18,8,12,18
ST-2544,10,129,18,153,8,523,22
ST-2545,2,14,24,14,2,524,8
ST-2546,2,14,24,14,179,19,8
ST-2547,554,218,156,669,553,70,50
ST-2548,138,4,133,33,76,74,124
ST-2549,555,117,429,670,12,168,3
ST-2550,10,129,18,153,554,9,22
ST-2551,81,69,36,671,68,12,17
ST-2552,10,129,18,153,8,525,22
ST-2553,543,69,101,12,370,130,347
ST-2554,81,283,101,672,124,130,17
ST-2555,444,2,10,98,76,9,151
ST-2556,13,11,25,197,12,71,83
ST-2557,72,32,40,33,139,101,324
ST-2558,556,508,10,466,2,437,48
ST-2559,481,18,10,124,5,10,14
ST-2560,14,509,134,516,39,9,570
ST-2561,40,73,8,36,29,12,34
ST-2562,18,7,47,9,5,526,22
ST-2563,124,37,10,10,6,10,14
ST-2564,41,5,430,673,555,12,305
ST-2565,72,107,8,129,107,109,530
ST-2566,22,104,48,113,114,107,4
ST-2567,127,447,111,33,122,143,95
ST-2568,557,24,29,83,20,26,27
ST-2569,191,22,431,22,18,85,169
ST-2570,33,26,432,282,229,87,28
ST-2571,88,26,30,26,21,68,471
ST-2572,121,454,8,116,119,7,115
ST-2573,401,383,433,674,498,459,571
ST-2574,13,46,71,16,161,35,572
ST-2575,50,63,25,72,40,292,63
ST-2576,2,14,24,14,2,19,573
ST-2577,558,10,13,13,10,13,4
ST-2578,75,14,18,110,325,146,574
ST-2579,139,174,68,132,133,161,168
ST-2580,527,12,16,149,556,527,57
ST-2581,179,166,10,122,61,8,157
ST-2582,2,2,43,7,105,19,442
ST-2583,559,73,224,196,163,528,575
ST-2584,417,36,123,20,5,327,576
ST-2585,25,77,171,22,557,181,25
ST-2586,2,15,21,138,130,19,12
ST-2587,117,319,8,46,140,208,38
ST-2588,39,510,8,111,558,8,559
ST-2589,111,47,49,42,559,58,3
ST-2590,560,338,434,675,33,440,283
ST-2591,15,4,21,677,14,9,22
ST-2592,11,140,209,49,33,16,4
ST-2593,11,10,13,678,10,13,4
ST-2594,25,511,80,679,294,211,577
ST-2595,5,110,35,122,560,19,22
ST-2596,152,101,47,680,169,7,578
ST-2597,465,75,8,216,5,146,97
ST-2598,561,4,3,681,27,128,579
ST-2599,191,77,27,22,277,264,174
ST-2600,41,9,15,12,2,14,580
ST-2601,166,512,35,216,95,8,105
ST-2602,562,245,27,682,46,184,49
ST-2603,5,110,35,683,2,530,102
ST-2604,563,208,25,76,161,71,186
ST-2605,33,26,30,684,229,87,28
ST-2606,146,32,40,33,139,79,324
ST-2607,83,169,49,569,12,23,4
ST-2608,303,41,40,94,561,226,95
ST-2609,22,104,25,113,562,107,4
ST-2610,6,13,98,381,2,19,338
ST-2611,564,288,219,275,362,295,385
ST-2612,5,407,354,516,441,7,166
ST-2613,102,15,8,46,140,208,38
ST-2614,30,28,355,151,22,29,30
ST-2615,16,16,20,18,8,445,18
ST-2616,108,191,233,96,95,75,184
ST-2617,41,89,8,33,94,100,94
ST-2618,17,123,85,573,391,451,45
ST-2619,12,2,15,14,96,14,16
ST-2620,62,107,54,4,8,108,491
ST-2621,10,7,12,685,5,161,494
ST-2622,476,118,3,130,346,128,8
ST-2623,13,12,17,16,13,16,493
ST-2624,56,25,357,24,237,26,340
ST-2625,565,26,30,282,21,145,28
ST-2626,103,98,384,163,100,473,581
ST-2627,101,64,3,86,76,90,22
ST-2628,566,118,259,129,2,9,166
ST-2629,346,97,25,125,84,6,582
ST-2630,138,41,435,644,122,132,95
ST-2631,451,26,339,460,21,353,471
ST-2632,563,11,25,76,161,71,186
ST-2633,101,4,25,125,84,22,101
ST-2634,5,4,8,96,132,146,583
ST-2635,11,63,16,13,77,15,4
ST-2636,2,188,43,7,193,19,12
ST-2637,550,3,8,227,39,97,584
ST-2638,169,183,8,115,6,75,452
ST-2639,139,174,68,132,563,9,168
ST-2640,2,513,23,64,38,61,12
ST-2641,156,70,68,686,61,12,149
ST-2642,37,4,46,205,5,175,164
ST-2643,72,4,3,203,2,58,94
ST-2644,72,331,40,33,39,226,95
ST-2645,10,7,12,469,5,9,17
ST-2646,567,283,101,12,124,130,17
ST-2647,568,157,21,687,505,483,17
ST-2648,569,4,436,688,2,531,22
ST-2649,570,24,28,24,564,26,27
ST-2650,7,6,8,8,6,8,13
ST-2651,83,46,25,13,33,23,63
ST-2652,5,2,437,7,6,6,11
ST-2653,71,65,67,16,61,9,64
ST-2654,571,11,16,15,12,15,4
ST-2655,106,514,46,210,325,2,2
ST-2656,479,410,38,574,184,452,499
ST-2657,4,164,134,195,8,105,22
ST-2658,84,405,309,625,438,322,137
ST-2659,33,26,30,689,283,87,28
ST-2660,349,449,359,415,366,329,363
ST-2661,11,11,25,13,10,58,4
ST-2662,30,28,31,333,22,29,585
ST-2663,376,515,438,690,63,532,385
ST-2664,13,12,17,691,13,16,4
ST-2665,55,149,439,692,233,70,50
ST-2666,15,516,3,131,6,180,338
ST-2667,39,117,47,402,565,45,57
ST-2668,13,140,25,526,12,13,586
ST-2669,376,517,440,693,566,295,385
ST-2670,14,518,10,121,96,14,14
ST-2671,572,519,25,402,567,9,354
ST-2672,56,24,29,24,568,26,131
ST-2673,62,520,54,60,5,53,54
ST-2674,2,14,24,14,2,533,8
ST-2675,10,14,15,31,25,534,33
ST-2676,30,28,31,333,22,29,30
ST-2677,339,161,25,694,569,35,4
ST-2678,84,76,38,695,12,13,4
ST-2679,2,4,40,696,541,2,425
ST-2680,573,24,357,697,20,252,131
ST-2681,158,143,29,174,20,50,587
ST-2682,574,15,18,12,2,9,1
ST-2683,13,11,8,15,12,15,4
ST-2684,230,38,422,431,236,216,209
ST-2685,575,13,226,12,96,65,588
ST-2686,61,294,25,575,136,45,126
ST-2687,209,31,3,46,76,7,22
ST-2688,2,5,441,88,5,19,12
ST-2689,576,2,18,12,25,7,12
ST-2690,41,332,79,62,570,14,96
ST-2691,56,25,29,83,79,26,79
ST-2692,119,10,17,42,12,535,4
ST-2693,126,521,8,216,29,146,322
ST-2694,158,78,29,82,20,536,51
ST-2695,30,522,31,698,22,29,30
ST-2696,11,41,25,16,10,23,4
ST-2697,231,38,442,699,236,340,209
ST-2698,5,14,18,9,571,12,17
ST-2699,18,101,46,12,193,14,12
ST-2700,231,523,422,431,342,216,209
ST-2701,10,60,443,66,6,65,16
ST-2702,13,10,17,73,9,9,4
ST-2703,577,119,100,27,22,129,30
ST-2704,5,2,360,7,6,6,589
ST-2705,578,107,8,51,2,117,16
ST-2706,15,2,21,12,96,19,12
ST-2707,14,37,108,700,105,19,135
ST-2708,145,26,30,26,21,537,28
ST-2709,84,11,444,42,40,71,4
ST-2710,579,28,31,151,22,538,30
ST-2711,110,31,10,62,14,19,34
ST-2712,13,524,25,16,223,35,590
ST-2713,6,2,8,62,76,9,34
ST-2714,360,177,445,78,61,9,84
ST-2715,39,410,406,72,483,389,126
ST-2716,172,152,40,701,5,74,22
ST-2717,2,4,446,43,481,2,425
ST-2718,131,183,447,21,25,9,172
ST-2719,580,410,38,574,184,45,499
ST-2720,13,41,25,74,337,332,3
ST-2721,99,525,58,11,111,9,2
ST-2722,52,351,119,183,36,83,23
ST-2723,2,59,23,64,38,539,591
ST-2724,470,28,31,151,22,441,30
ST-2725,17,188,47,58,5,9,22
ST-2726,9,15,6,12,90,19,2
ST-2727,50,80,448,85,40,58,4
ST-2728,111,47,49,42,12,58,592
ST-2729,231,38,422,651,236,340,209
ST-2730,215,112,79,96,572,64,449
ST-2731,75,2,224,403,90,2,12
ST-2732,242,221,72,81,573,246,76
ST-2733,48,526,3,176,255,236,142
ST-2734,191,77,80,22,18,91,91
ST-2735,465,183,8,216,8,146,97
ST-2736,50,11,25,21,59,35,63
ST-2737,14,5,8,139,574,19,593
ST-2738,15,117,15,62,109,7,151
ST-2739,581,3,449,702,140,9,594
ST-2740,52,519,38,402,169,58,183
ST-2741,582,349,261,703,8,19,595
ST-2742,14,118,263,704,27,128,8
ST-2743,50,10,25,705,10,13,4
ST-2744,13,12,17,706,13,16,4
ST-2745,50,10,450,72,10,540,4
ST-2746,115,75,8,115,575,116,110
ST-2747,6,7,10,707,8,10,14
ST-2748,9,9,6,12,576,12,2
ST-2749,124,507,10,10,6,10,14
ST-2750,13,224,25,16,33,58,596
ST-2751,13,11,16,708,12,15,4
ST-2752,6,527,10,124,5,541,14
ST-2753,216,46,451,149,223,156,4
ST-2754,140,392,40,11,140,180,597
ST-2755,30,28,31,333,497,29,300
ST-2756,6,13,3,381,2,19,338
ST-2757,230,38,452,408,236,216,345
ST-2758,65,528,28,24,577,50,598
ST-2759,198,14,98,709,321,9,22
ST-2760,229,176,453,214,18,85,599
ST-2761,32,241,454,30,24,244,32
ST-2762,139,174,68,132,133,9,600
ST-2763,583,70,93,78,113,6,68
ST-2764,130,529,25,125,84,9,101
ST-2765,65,451,29,312,20,26,60
ST-2766,231,381,452,658,342,340,209
ST-2767,217,208,13,249,578,23,4
ST-2768,110,410,25,710,184,165,4
ST-2769,41,42,43,711,9,12,2
ST-2770,111,107,8,49,12,58,4
ST-2771,128,530,100,27,22,129,30
ST-2772,202,75,8,204,120,116,162
ST-2773,145,26,30,282,141,87,28
ST-2774,33,26,30,144,283,87,601
ST-2775,65,451,29,82,20,26,60
ST-2776,33,26,159,712,21,87,28
ST-2777,584,531,455,72,33,35,596
ST-2778,235,25,28,83,579,86,602
ST-2779,145,26,30,713,141,87,28
ST-2780,17,18,22,17,580,21,19
ST-2781,33,26,30,460,21,542,134
ST-2782,429,104,25,85,33,58,4
ST-2783,13,12,17,16,117,16,603
ST-2784,81,69,36,12,68,543,17
ST-2785,14,188,15,233,191,192,34
ST-2786,41,2,3,46,36,19,604
ST-2787,30,28,31,57,22,29,30
ST-2788,197,532,456,714,132,46,435
ST-2789,173,533,8,4,530,3,605
ST-2790,151,176,27,22,18,24,174
ST-2791,90,534,76,27,82,89,30
ST-2792,230,381,457,408,236,216,606
ST-2793,125,63,17,397,12,58,3
ST-2794,559,64,40,96,448,186,553
ST-2795,41,9,21,12,8,544,17
ST-2796,156,535,40,447,113,9,607
ST-2797,117,39,41,9,6,7,12
ST-2798,39,536,233,715,138,545,102
ST-2799,231,38,288,408,342,340,209
ST-2800,55,149,458,716,581,546,50
ST-2801,56,25,75,717,80,26,79
ST-2802,261,78,29,24,262,243,60
ST-2803,104,100,459,78,104,9,48
ST-2804,349,327,257,415,366,345,363
ST-2805,10,7,12,718,5,9,2
ST-2806,13,208,49,719,33,35,4
ST-2807,46,67,15,12,2,14,14
ST-2808,585,4,40,608,157,547,323
ST-2809,5,85,79,88,76,95,608
ST-2810,556,86,210,720,169,548,609
ST-2811,158,143,29,174,20,50,60
ST-2812,514,384,38,16,33,35,410
ST-2813,586,221,81,81,330,378,76
ST-2814,20,4,460,14,16,19,18
ST-2815,61,537,8,721,582,64,4
ST-2816,587,12,17,16,13,16,4
ST-2817,242,221,81,722,583,549,290
ST-2818,11,10,13,13,584,13,4
ST-2819,15,126,101,88,585,19,18
ST-2820,2,18,46,210,140,550,610
ST-2821,50,80,25,85,40,551,611
ST-2822,30,28,31,151,57,29,30
ST-2823,15,71,18,7,36,552,612
ST-2824,13,11,461,16,13,15,4
ST-2825,145,26,30,282,21,87,28
ST-2826,39,117,47,402,136,45,57
ST-2827,378,286,30,282,21,87,28
ST-2828,230,38,462,632,586,216,209
ST-2829,5,2,3,723,5,5,10
ST-2830,29,26,30,212,283,87,457
ST-2831,111,46,25,16,40,58,63
ST-2832,588,221,163,724,330,246,76
ST-2833,117,538,15,14,93,10,613
ST-2834,10,15,15,237,5,12,86
ST-2835,111,109,17,149,41,553,23
ST-2836,10,539,15,31,25,20,33
ST-2837,589,31,463,725,116,162,142
ST-2838,43,83,17,49,12,13,83
ST-2839,590,134,82,96,36,109,4
ST-2840,5,85,79,726,76,95,85
ST-2841,10,436,46,126,587,19,12
ST-2842,13,80,464,113,12,15,145
ST-2843,10,7,12,728,5,55,2
ST-2844,591,1,465,729,8,554,614
ST-2845,418,14,224,730,89,313,2
ST-2846,14,438,122,172,6,7,2
ST-2847,395,320,466,608,588,315,615
ST-2848,255,540,30,731,464,229,616
ST-2849,145,26,30,55,283,87,28
ST-2850,592,26,30,282,229,87,28
ST-2851,50,80,25,85,492,58,4
ST-2852,110,117,16,441,36,168,3
ST-2853,593,67,10,17,15,9,66
ST-2854,7,193,8,72,39,149,158
ST-2855,2,2,15,732,15,20,12
ST-2856,84,76,467,16,12,13,4
ST-2857,545,503,468,72,483,107,196
ST-2858,10,14,469,31,25,20,33
ST-2859,25,77,27,22,18,555,169
ST-2860,10,4,470,130,438,128,8
ST-2861,33,26,30,213,21,87,28
ST-2862,155,138,471,99,145,444,146
ST-2863,191,23,27,22,589,24,174
ST-2864,10,7,12,9,5,9,617
ST-2865,277,363,187,305,277,235,91
ST-2866,10,7,12,9,5,9,618
ST-2867,594,28,31,27,590,556,81
ST-2868,380,482,276,511,240,360,208
ST-2869,42,542,48,48,40,35,4
ST-2870,595,42,43,58,9,12,2
ST-2871,39,86,101,190,169,105,619
ST-2872,30,28,31,151,22,129,30
ST-2873,56,25,28,263,48,50,78
ST-2874,14,101,108,33,5,12,8
ST-2875,110,177,16,441,36,168,3
ST-2876,111,47,49,42,591,58,3
ST-2877,137,13,10,196,5,557,565
ST-2878,111,543,17,149,41,13,23
ST-2879,230,38,245,416,342,216,209
ST-2880,596,83,48,13,12,23,4
ST-2881,41,42,43,733,9,558,2
ST-2882,597,28,472,151,22,29,30
ST-2883,216,544,473,248,582,105,196
ST-2884,46,14,15,12,97,19,18
ST-2885,480,450,8,204,491,103,303
ST-2886,13,127,48,113,41,559,4
ST-2887,46,69,15,12,592,19,18
ST-2888,598,545,474,382,593,560,349
ST-2889,13,11,475,113,161,107,4
ST-2890,56,78,28,83,594,26,27
ST-2891,83,11,476,734,12,15,4
ST-2892,230,546,244,407,359,216,209
ST-2893,2,14,24,14,2,453,8
ST-2894,92,36,3,735,5,475,22
ST-2895,42,169,48,736,12,23,4
ST-2896,130,547,25,125,84,9,101
ST-2897,26,24,29,24,20,26,620
ST-2898,2,4,477,43,541,2,425
ST-2899,599,356,18,33,2,146,621
ST-2900,111,46,478,16,40,58,63
ST-2901,59,137,479,737,595,8,530
ST-2902,161,548,8,620,596,561,90
ST-2903,111,47,480,738,12,58,3
ST-2904,600,125,78,128,138,9,141
ST-2905,601,38,481,739,236,216,209
ST-2906,602,58,8,640,597,79,622
ST-2907,603,25,29,24,20,252,131
ST-2908,75,67,10,17,598,9,66
ST-2909,13,12,482,16,13,16,4
ST-2910,172,64,97,740,61,475,623
ST-2911,93,4,18,90,5,96,89
ST-2912,5,2,3,7,6,200,11
ST-2913,1,549,1,1,1,1,5
ST-2914,75,361,224,172,325,7,330
ST-2915,13,127,48,113,599,23,4
ST-2916,13,34,71,16,59,83,4
ST-2917,7,12,242,741,494,562,17
ST-2918,45,4,483,44,27,9,8
ST-2919,346,439,17,128,76,9,22
ST-2920,45,4,485,44,76,563,8
ST-2921,92,117,8,215,179,207,624
ST-2922,4,21,18,9,6,12,17
ST-2923,46,122,3,18,472,138,1
ST-2924,33,26,30,282,21,229,625
ST-2925,83,11,25,21,33,16,4
ST-2926,7,6,8,659,7,8,13
ST-2927,62,4,8,742,8,9,322
ST-2928,285,26,30,84,21,87,28
ST-2929,352,169,78,743,368,333,272
ST-2930,16,2,45,744,36,39,42
ST-2931,604,53,54,60,5,53,54
ST-2932,10,550,12,9,5,9,2
ST-2933,65,143,28,24,237,26,340
ST-2934,526,31,486,62,14,19,34
ST-2935,119,433,17,42,5,13,4
ST-2936,10,7,12,9,112,564,2
ST-2937,17,18,22,17,5,565,19
ST-2938,5,85,79,745,76,95,501
ST-2939,18,7,8,9,39,9,481
ST-2940,13,208,49,719,33,16,4
ST-2941,606,77,192,465,18,566,91
ST-2942,161,2,8,746,600,457,96
ST-2943,607,7,9,9,5,9,12
ST-2944,13,12,17,747,13,16,4
ST-2945,11,41,55,42,34,567,4
ST-2946,191,77,27,22,18,239,222
ST-2947,2,31,10,62,601,19,34
ST-2948,10,60,58,66,6,568,12
ST-2949,10,7,12,9,5,9,626
ST-2950,10,86,12,589,6,9,11
ST-2951,11,41,55,748,34,58,4
ST-2952,608,26,30,212,283,145,28
ST-2953,2,7,9,749,5,9,12
ST-2954,313,551,224,750,8,569,397
ST-2955,5,110,487,122,2,19,22
ST-2956,10,19,12,9,5,570,2
ST-2958,5,194,271,9,5,42,2
ST-2966,10,552,15,31,25,20,33
ST-2967,10,7,12,9,112,9,627
ST-2976,614,555,489,754,608,576,630
ST-2979,17,101,8,439,6,117,12
ST-2980,114,101,8,439,6,117,12
ST-2981,10,7,10,9,5,9,104
ST-2982,45,556,8,44,27,9,8
ST-2984,615,4,8,44,27,9,8
ST-2985,45,4,490,44,27,9,8
ST-2986,45,4,8,44,609,56,8
ST-2988,10,7,12,756,5,9,2
ST-2990,3,36,43,38,16,577,38
ST-2993,618,557,491,757,611,578,631
ST-2996,39,98,36,152,613,7,171
ST-2998,620,558,492,759,614,580,633
ST-3000,5,2,493,7,6,6,11
ST-3001,48,31,35,761,26,44,47
ST-3002,48,128,96,762,116,119,118
ST-3003,45,4,8,44,1,56,8
ST-3004,621,559,494,763,615,581,634
ST-3005,622,560,495,764,616,582,635
ST-3006,346,439,8,125,76,19,124
ST-3007,621,559,496,765,617,281,636
ST-3008,623,561,497,766,618,583,637
ST-3009,2,562,9,9,5,9,12
ST-3010,2,7,12,767,8,9,17
ST-3011,624,563,498,768,619,584,638
ST-3012,18,7,128,9,39,9,33
ST-3013,10,7,12,9,5,9,639
ST-3014,10,7,12,9,620,9,2
ST-3015,10,7,12,9,621,9,2
ST-3016,41,37,8,246,622,101,181
ST-3017,10,7,12,9,623,9,2
ST-3018,101,97,3,125,438,19,22
ST-3019,10,7,12,9,624,9,2
ST-3020,10,7,12,9,5,9,640
ST-3021,10,7,12,9,5,585,2
ST-3022,625,63,499,769,625,23,149
ST-3023,230,38,245,651,342,340,209
ST-3024,16,2,500,43,36,39,42
ST-3025,156,70,152,447,626,9,607
ST-3026,111,83,17,13,35,16,552
ST-3027,84,11,16,42,40,71,23
ST-3028,11,46,25,16,161,15,4
ST-3029,15,70,93,78,113,6,102
ST-3030,180,564,209,770,161,586,4
ST-3031,22,200,25,72,10,23,4
ST-3032,626,70,501,771,627,9,161
ST-3033,180,169,209,770,161,586,4
ST-3034,139,174,68,132,36,9,168
ST-3035,13,63,25,16,59,13,63
ST-3036,180,179,502,243,628,9,373
ST-3037,203,63,25,21,40,15,4
ST-3038,210,169,209,104,41,23,4
ST-3039,37,31,503,14,8,6,465
ST-3040,358,565,16,42,33,71,23
ST-3042,231,501,504,651,236,216,209
ST-3043,627,392,40,11,140,180,18
ST-3044,450,442,10,12,76,2,8
ST-3045,10,7,21,772,15,12,12
ST-3046,10,7,12,9,629,9,2
ST-3047,10,566,12,9,112,9,2
ST-3048,112,162,85,584,503,465,108
ST-3049,559,187,10,262,95,9,210
ST-3050,111,109,8,120,318,587,4
ST-3051,628,567,49,42,12,58,3
ST-3052,405,176,27,324,18,85,25
ST-3053,56,25,29,24,20,588,27
ST-3054,426,399,68,21,136,9,432
ST-3055,9,9,6,12,9,9,2
ST-3086,5,2,361,7,31,41,642
ST-3087,10,204,68,247,64,132,194
ST-3088,13,11,25,197,12,433,4
ST-3089,112,356,505,99,119,589,643
ST-3090,48,128,96,119,116,119,644
ST-3091,22,11,25,21,10,23,645
ST-3092,42,11,48,149,12,590,4
ST-3093,44,284,215,675,332,7,646
ST-3094,233,2,3,7,6,591,11
ST-3095,13,127,506,113,114,107,4
ST-3096,11,10,25,773,10,35,4
